,,,Cl,,,,Alpha
0.29329,0.11438,-0.016267,-0.15685,-0.29209,-0.40459,-0.56165,-85
0.27831,0.096507,-0.032257,-0.1727,-0.30178,-0.42041,-0.57533,-84.5
0.26336,0.078644,-0.048673,-0.18888,-0.31294,-0.43713,-0.5896,-84
0.24835,0.061315,-0.06544,-0.20519,-0.32692,-0.45457,-0.60518,-83.5
0.2332,0.045047,-0.082484,-0.22144,-0.34372,-0.47255,-0.62174,-83
0.21783,0.030303,-0.099728,-0.23741,-0.36212,-0.49089,-0.63802,-82.5
0.20217,0.016785,-0.1171,-0.25292,-0.38083,-0.50937,-0.65274,-82
0.18614,0.0036656,-0.13451,-0.26794,-0.39877,-0.52747,-0.66526,-81.5
0.16977,-0.0098937,-0.15186,-0.28267,-0.41574,-0.54453,-0.67634,-81
0.15312,-0.024724,-0.16908,-0.2973,-0.43175,-0.55988,-0.68694,-80.5
0.13625,-0.041149,-0.18606,-0.31203,-0.44681,-0.5729,-0.69803,-80
0.11921,-0.05862,-0.20272,-0.32706,-0.46093,-0.5838,-0.71051,-79.5
0.10207,-0.076504,-0.21896,-0.34254,-0.47417,-0.59346,-0.72441,-79
0.084878,-0.094169,-0.23476,-0.35862,-0.48691,-0.60274,-0.73882,-78.5
0.067696,-0.11105,-0.2501,-0.37543,-0.49972,-0.61252,-0.75283,-78
0.05058,-0.12715,-0.26499,-0.39312,-0.51316,-0.62369,-0.76571,-77.5
0.033591,-0.14281,-0.27946,-0.41144,-0.52772,-0.63709,-0.77757,-77
0.016783,-0.15834,-0.29363,-0.42973,-0.54334,-0.6528,-0.78878,-76.5
0.00019987,-0.17405,-0.30767,-0.44733,-0.55972,-0.67012,-0.79968,-76
-0.016126,-0.19005,-0.32173,-0.46356,-0.57656,-0.68827,-0.81063,-75.5
-0.032161,-0.20627,-0.33596,-0.47774,-0.59354,-0.7065,-0.82197,-75
-0.047872,-0.22265,-0.35053,-0.48935,-0.61036,-0.72405,-0.83366,-74.5
-0.063224,-0.23912,-0.36557,-0.49913,-0.62672,-0.74021,-0.84528,-74
-0.078251,-0.2556,-0.38121,-0.50861,-0.64233,-0.75483,-0.85637,-73.5
-0.093177,-0.27203,-0.39727,-0.51933,-0.65721,-0.76806,-0.86657,-73
-0.10826,-0.28829,-0.41353,-0.53278,-0.67149,-0.78007,-0.87611,-72.5
-0.12376,-0.30431,-0.42977,-0.54944,-0.68533,-0.79103,-0.88541,-72
-0.13994,-0.32,-0.44581,-0.56832,-0.69886,-0.80112,-0.89491,-71.5
-0.15705,-0.33545,-0.46188,-0.58828,-0.71223,-0.81061,-0.90504,-71
-0.17524,-0.35106,-0.47832,-0.60821,-0.72559,-0.81975,-0.91592,-70.5
-0.19417,-0.36723,-0.4955,-0.62699,-0.73895,-0.82881,-0.92684,-70
-0.21334,-0.38437,-0.51373,-0.64404,-0.75203,-0.83805,-0.93699,-69.5
-0.23228,-0.40248,-0.53273,-0.65962,-0.76448,-0.84773,-0.9456,-69
-0.25059,-0.42097,-0.55174,-0.67402,-0.77604,-0.85808,-0.9525,-68.5
-0.26825,-0.43918,-0.56997,-0.68757,-0.78689,-0.86901,-0.9581,-68
-0.28537,-0.45646,-0.58664,-0.70058,-0.79728,-0.88024,-0.96281,-67.5
-0.30202,-0.47215,-0.60098,-0.71327,-0.8075,-0.89147,-0.96704,-67
-0.31831,-0.48581,-0.61255,-0.7258,-0.8178,-0.9024,-0.97122,-66.5
-0.33431,-0.49826,-0.62242,-0.73833,-0.82847,-0.91275,-0.97561,-66
-0.35011,-0.5108,-0.63206,-0.75103,-0.83973,-0.92223,-0.98018,-65.5
-0.36582,-0.52473,-0.64295,-0.76402,-0.8516,-0.93057,-0.98489,-65
-0.38149,-0.54102,-0.65652,-0.77725,-0.86396,-0.9379,-0.98972,-64.5
-0.39716,-0.55913,-0.67298,-0.79063,-0.87666,-0.94458,-0.99462,-64
-0.41281,-0.5781,-0.6914,-0.80405,-0.88958,-0.95096,-0.99955,-63.5
-0.42844,-0.59696,-0.71077,-0.81741,-0.9024,-0.95742,-1.0045,-63
-0.44405,-0.61476,-0.73011,-0.83062,-0.91463,-0.96432,-1.0093,-62.5
-0.45965,-0.63075,-0.74843,-0.84358,-0.92576,-0.972,-1.0141,-62
-0.47522,-0.64527,-0.7651,-0.8562,-0.93557,-0.98065,-1.0186,-61.5
-0.49078,-0.65902,-0.78024,-0.86846,-0.94434,-0.9899,-1.0228,-61
-0.50638,-0.67266,-0.79403,-0.88035,-0.95238,-0.99929,-1.0266,-60.5
-0.52206,-0.6869,-0.80665,-0.89188,-0.96003,-1.0084,-1.03,-60
-0.53789,-0.70211,-0.81827,-0.90304,-0.9676,-1.0167,-1.0327,-59.5
-0.55391,-0.71802,-0.8291,-0.91382,-0.97542,-1.0238,-1.0349,-59
-0.57017,-0.73424,-0.83941,-0.92423,-0.9838,-1.03,-1.0364,-58.5
-0.58668,-0.7504,-0.8495,-0.93427,-0.99271,-1.0356,-1.0373,-58
-0.60338,-0.76611,-0.85968,-0.94396,-1.0019,-1.0409,-1.0379,-57.5
-0.62023,-0.78114,-0.87025,-0.95336,-1.0111,-1.0463,-1.0381,-57
-0.63718,-0.79555,-0.88148,-0.96252,-1.02,-1.0521,-1.0381,-56.5
-0.65418,-0.80943,-0.89334,-0.97151,-1.0283,-1.0585,-1.0381,-56
-0.67119,-0.82288,-0.90558,-0.98037,-1.0359,-1.0652,-1.038,-55.5
-0.68816,-0.83601,-0.91798,-0.98917,-1.0424,-1.0718,-1.038,-55
-0.70505,-0.8489,-0.93029,-0.99797,-1.048,-1.0776,-1.038,-54.5
-0.72179,-0.86162,-0.94229,-1.0068,-1.0527,-1.0823,-1.0379,-54
-0.73836,-0.87415,-0.95373,-1.0155,-1.0567,-1.0854,-1.0378,-53.5
-0.75469,-0.88646,-0.96438,-1.0242,-1.06,-1.0864,-1.0375,-53
-0.77072,-0.8985,-0.97408,-1.0327,-1.0628,-1.0855,-1.0369,-52.5
-0.78642,-0.91024,-0.98284,-1.041,-1.0652,-1.0832,-1.0361,-52
-0.80171,-0.92164,-0.9907,-1.0491,-1.0673,-1.0797,-1.0349,-51.5
-0.81655,-0.93279,-0.99769,-1.0568,-1.0693,-1.0755,-1.0333,-51
-0.83089,-0.94383,-1.0039,-1.064,-1.0711,-1.0711,-1.0311,-50.5
-0.84476,-0.95493,-1.0092,-1.0709,-1.073,-1.0668,-1.0284,-50
-0.85825,-0.96624,-1.0139,-1.0772,-1.075,-1.063,-1.0251,-49.5
-0.8714,-0.97782,-1.0178,-1.0829,-1.077,-1.0602,-1.021,-49
-0.88428,-0.98947,-1.0213,-1.0879,-1.0789,-1.0582,-1.0161,-48.5
-0.89697,-1.001,-1.0243,-1.0923,-1.0807,-1.057,-1.0103,-48
-0.90953,-1.012,-1.027,-1.0959,-1.0823,-1.0562,-1.0036,-47.5
-0.92201,-1.0225,-1.0296,-1.0988,-1.0837,-1.0555,-0.99613,-47
-0.93445,-1.0321,-1.0321,-1.1011,-1.0847,-1.0547,-0.9879,-46.5
-0.94681,-1.0411,-1.0347,-1.1028,-1.0853,-1.0535,-0.97897,-46
-0.95904,-1.05,-1.0374,-1.1042,-1.0854,-1.0517,-0.9694,-45.5
-0.9711,-1.059,-1.0404,-1.1053,-1.0851,-1.049,-0.95925,-45
-0.98297,-1.0686,-1.0436,-1.1062,-1.0843,-1.0455,-0.94857,-44.5
-0.99461,-1.0787,-1.0471,-1.1071,-1.083,-1.0414,-0.93745,-44
-1.006,-1.0891,-1.051,-1.1079,-1.081,-1.0366,-0.926,-43.5
-1.017,-1.0992,-1.0553,-1.1087,-1.0784,-1.0312,-0.91437,-43
-1.0277,-1.1086,-1.0601,-1.1094,-1.0751,-1.0255,-0.90269,-42.5
-1.038,-1.117,-1.0654,-1.1101,-1.0712,-1.0193,-0.89109,-42
-1.0479,-1.1244,-1.0712,-1.1107,-1.0666,-1.013,-0.8797,-41.5
-1.0573,-1.1309,-1.0778,-1.1113,-1.0616,-1.0063,-0.86865,-41
-1.0662,-1.1364,-1.0852,-1.1118,-1.0564,-0.99917,-0.85787,-40.5
-1.0746,-1.141,-1.0936,-1.1123,-1.0511,-0.99145,-0.84725,-40
-1.0825,-1.1448,-1.103,-1.1125,-1.046,-0.98298,-0.83664,-39.5
-1.0897,-1.1478,-1.1127,-1.1125,-1.0412,-0.97359,-0.8259,-39
-1.0964,-1.1501,-1.1216,-1.1122,-1.037,-0.96314,-0.81491,-38.5
-1.1024,-1.1518,-1.1285,-1.1114,-1.0335,-0.95159,-0.80352,-38
-1.1078,-1.153,-1.1328,-1.1101,-1.0309,-0.93932,-0.7918,-37.5
-1.1127,-1.1539,-1.1349,-1.1083,-1.0285,-0.92681,-0.77995,-37
