,,,Cl,,,,Alpha
-1.0258,-1.0066,-0.97126,-0.87946,-0.88202,-0.97705,-0.99768,155
-1.0241,-1.0024,-0.95961,-0.86766,-0.88267,-0.98218,-0.97021,155.5
-1.022,-0.99785,-0.9479,-0.85673,-0.88389,-0.98778,-0.93614,156
-1.0195,-0.99267,-0.93621,-0.84667,-0.88581,-0.99372,-0.8943,156.5
-1.0165,-0.98674,-0.92463,-0.83749,-0.88856,-0.99989,-0.8452,157
-1.0131,-0.97992,-0.91324,-0.8292,-0.89227,-1.0062,-0.79724,157.5
-1.0092,-0.97206,-0.90202,-0.8218,-0.89708,-1.0125,-0.76104,158
-1.0049,-0.96311,-0.89091,-0.81533,-0.90313,-1.0189,-0.73758,158.5
-1,-0.95316,-0.87984,-0.80987,-0.91048,-1.0251,-0.70888,159
-0.99465,-0.94235,-0.86872,-0.8055,-0.91894,-1.0313,-0.66078,159.5
-0.98878,-0.93078,-0.85748,-0.80231,-0.92826,-1.036,-0.60918,160
-0.98237,-0.91857,-0.84608,-0.80038,-0.93816,-1.0337,-0.56751,160.5
-0.97545,-0.90585,-0.83457,-0.7998,-0.94839,-1.0171,-0.53284,161
-0.96812,-0.89273,-0.82304,-0.80065,-0.95861,-0.9794,-0.50107,161.5
-0.96049,-0.87933,-0.81157,-0.80288,-0.96802,-0.91802,-0.46809,162
-0.95267,-0.86576,-0.80023,-0.8062,-0.97563,-0.86129,-0.43115,162.5
-0.94478,-0.85215,-0.7891,-0.81024,-0.98046,-0.82017,-0.39138,163
-0.93692,-0.83862,-0.77827,-0.81469,-0.98152,-0.78764,-0.35059,163.5
-0.92921,-0.82538,-0.7678,-0.81919,-0.97781,-0.75646,-0.31059,164
-0.92174,-0.81261,-0.75776,-0.8234,-0.96837,-0.72082,-0.27237,164.5
-0.91434,-0.80052,-0.74821,-0.82699,-0.95273,-0.68111,-0.23572,165
-0.90667,-0.7893,-0.73922,-0.82964,-0.93266,-0.63937,-0.20032,165.5
-0.89843,-0.77914,-0.73084,-0.83117,-0.91052,-0.59764,-0.16586,166
-0.88929,-0.77003,-0.72314,-0.83147,-0.8885,-0.55759,-0.13192,166.5
-0.87892,-0.76175,-0.7163,-0.83039,-0.86486,-0.51902,-0.097674,167
-0.86701,-0.7541,-0.7107,-0.82783,-0.83332,-0.48124,-0.062192,167.5
-0.85349,-0.74688,-0.70669,-0.82365,-0.78741,-0.44354,-0.024535,168
-0.83895,-0.73986,-0.70468,-0.81774,-0.72823,-0.40554,0.015861,168.5
-0.82405,-0.73285,-0.70503,-0.80996,-0.68071,-0.36769,0.057664,169
-0.80946,-0.72565,-0.7081,-0.79966,-0.651,-0.33054,0.098941,169.5
-0.79585,-0.7183,-0.71333,-0.78512,-0.62172,-0.29467,0.13776,170
-0.78388,-0.71098,-0.71867,-0.76445,-0.57923,-0.26029,0.17309,170.5
-0.77367,-0.70384,-0.72198,-0.73579,-0.53264,-0.2262,0.20647,171
-0.76471,-0.69706,-0.72109,-0.69775,-0.49522,-0.19084,0.23991,171.5
-0.75642,-0.69081,-0.71385,-0.65337,-0.46421,-0.15264,0.27541,172
-0.74824,-0.68526,-0.69819,-0.60792,-0.43135,-0.11097,0.31445,172.5
-0.73959,-0.68058,-0.67438,-0.56516,-0.39458,-0.068368,0.35554,173
-0.7299,-0.67693,-0.64519,-0.52473,-0.35587,-0.028066,0.39615,173.5
-0.719,-0.6742,-0.61352,-0.4856,-0.31727,0.006702,0.43375,174
-0.70731,-0.67167,-0.58215,-0.44676,-0.28039,0.035302,0.46658,174.5
-0.69538,-0.66859,-0.55072,-0.40782,-0.24493,0.066628,0.49501,175
-0.6837,-0.66416,-0.51534,-0.36896,-0.21006,0.11125,0.51974,175.5
-0.67259,-0.65763,-0.47471,-0.33039,-0.17496,0.16453,0.54133,176
-0.6621,-0.64823,-0.43555,-0.29232,-0.1388,0.20969,0.55983,176.5
-0.65227,-0.63522,-0.40485,-0.25461,-0.10121,0.24638,0.57524,177
-0.64312,-0.61834,-0.38034,-0.21678,-0.062178,0.27765,0.58754,177.5
-0.6347,-0.59747,-0.35518,-0.17834,-0.021735,0.30656,0.59672,178
-0.62703,-0.57252,-0.32252,-0.13881,0.020039,0.33618,0.60276,178.5
-0.62016,-0.54338,-0.27697,-0.099138,0.061494,0.36955,0.60565,179
-0.61411,-0.50996,-0.22601,-0.062827,0.099298,0.40973,0.60536,179.5
-0.60893,-0.47215,-0.18377,-0.033651,0.13004,0.4598,0.6019,180
